id,predicted_label,predicted_proba
1,1,0.5798938270733407
2,1,0.7618453937990844
3,1,0.5607421262872465
4,1,0.6997319958697007
5,1,0.9173328846522316
6,1,0.8330416692331839
7,1,0.7951137199119707
8,1,0.784762340265933
9,1,0.8051532949941531
10,1,0.7562215770185465
11,1,0.6756018149574483
12,1,0.7615127728967735
13,0,0.3536434236460291
14,1,0.7623480925493165
15,1,0.6087711629816182
16,1,0.7816721230404253
17,1,0.9294655397860453
18,1,0.658967560642294
19,0,0.25220330939251195
20,1,0.8588119057993815
21,1,0.6650883041766822
22,1,0.9208316302359798
23,1,0.6561547490155355
24,1,0.6703445299380371
25,1,0.8634018148550778
26,1,0.8080722747294231
27,1,0.9551528055967606
28,1,0.8431644645256868
29,1,0.8506981732434903
30,1,0.8694201993831485
31,1,0.8414017557538214
32,1,0.8969127514567339
33,0,0.254599246021598
34,1,0.8519120477001537
35,1,0.8181063590644735
36,1,0.8834228611128125
37,1,0.7925930417731608
38,1,0.928300444678039
39,1,0.8230143724079444
40,1,0.7330150735368206
41,1,0.8055800644553337
42,1,0.821547747779434
43,1,0.7639912662844996
44,1,0.7740604626361828
45,1,0.7776110765572867
46,1,0.767706083952048
47,1,0.8132896202460373
48,1,0.8832785145091164
49,1,0.7591560552938975
50,1,0.753359544304667
51,0,0.35589746272182454
52,0,0.2942556771095226
53,1,0.7322150574870048
54,1,0.7464100225229884
55,1,0.7599319409679497
56,0,0.41270291002767884
57,1,0.5773554982475292
58,0,0.1493026269870927
59,1,0.6767489853681714
60,0,0.2383915031806188
61,1,0.6617302414974224
62,1,0.5558444850390163
63,1,0.8641691987149956
64,1,0.5441437634088588
65,1,0.6970816121198349
66,1,0.8440853241423318
67,1,0.5651087334568048
68,0,0.2635618063996497
69,1,0.7143882601020188
70,1,0.56899971523159
71,1,0.7792988671750506
72,1,0.7579654910465601
73,1,0.5655684234899607
74,1,0.7616361879181809
75,1,0.8393911854020661
76,1,0.5112206067522718
77,0,0.42677731903242355
78,1,0.518324689297158
79,1,0.652540380154077
80,0,0.43263207712875884
81,1,0.8463845228508041
82,0,0.2341004891077752
83,1,0.5989119827084739
84,0,0.32761217652277796
85,1,0.7856369707206989
86,1,0.5070167487585823
87,1,0.5849999546551901
88,1,0.6811040801896279
89,1,0.7657674703863733
90,1,0.7545400906495792
91,1,0.8185964280939564
92,0,0.2670079423380801
93,0,0.31642110049189787
94,1,0.5863227368303761
95,0,0.4249089083459553
96,1,0.7651874139415499
97,1,0.7363732715737936
98,1,0.7102094107624072
99,1,0.8336358105306985
100,1,0.6269540487039414
